pmid	year	title	actividad_catalitica	evidencia_de_esa_afirmacion	organismo	actividad_necesaria_para_el_checkpoint	residuo_o_dominio_mencionado	frase_clave
24603334	2014	Overexpression of Aurora-C interferes with the spindle checkpoint by promoting the degradation 	no se pronuncia			si		activation of spindle checkpoint protein, BubR1, was eliminated
24858311	2015	Identification of DW532 as a novel anti-tumor agent targeting both kinases and tubulin.	no se pronuncia		humano	si		Knockdown of BubR1 dramatically decreased DW532-induced cell cycle arrest
26000094	2015	Requirement for BUB1B/BUBR1 in tumor progression of lung adenocarcinoma.	pseudoquinasa/inactiva	El dominio quinasa fue menos crítico ('the kinase domain was less critical') para las funciones de crecimiento independiente de anclaje y resistencia a anoikis, mientras que el dominio GLEBS fue requerido	humano, ratón	no se pronuncia	Región N-terminal, dominio GLEBS, dominio quinasa	the kinase domain was less critical
26658523	2016	Role of Intrinsic and Extrinsic Factors in the Regulation of the Mitotic Checkpoint Kinase Bub1	pseudoquinasa/inactiva	In vitro kinase assays mostrando que el dominio quinasa de BubR1 se une a nucleótidos pero es incapaz de entregar actividad catalítica		no se pronuncia	P+1 loop	BubR1 kinase domain binds nucleotides but is unable to deliver catalytic activity
27341405	2017	Regulation of AURORA B function by mitotic checkpoint protein MAD2.	no se pronuncia			si		MAD2 ablation leads to erroneous attachment of kinetochore-spindle fibers
27568005	2017	Tumor suppressor protein DAB2IP participates in chromosomal stability maintenance through activ	no se pronuncia		humano	si		Loss of DAB2IP inhibits Plk1 kinase activity, impairing Plk1-mediated BubR1 phosphorylation
28436952	2017	Playing polo during mitosis: PLK1 takes the lead.	pseudoquinasa/inactiva			si		PLK1 regulates the activity of BUB1 and its pseudokinase paralog BUBR1
29322045	2025	Multiple Duties for Spindle Assembly Checkpoint Kinases in Meiosis.	pseudoquinasa/inactiva			no se pronuncia		the pseudokinase BubR1 (Mad3)
29748388	2019	The kinetochore proteins CENP-E and CENP-F directly and specifically interact with distinct BUB	no se pronuncia		metazoo (general)	no se pronuncia	kinase domain	BUB1 y BUBR1 mitotic checkpoint Ser/Thr kinases
31201382	2020	BubR1 phosphorylates CENP-E as a switch enabling the transition from lateral association to end	activa	Estructura del dominio quinasa de BubR1 de Drosophila melanogaster revelando plegamiento en conformación predicha como catalíticamente activa; demostración de que BubR1 es una quinasa genuina que fosforila CENP-E	Drosophila melanogaster	no se pronuncia	hélice αN1 de la extensión N-terminal; hélice αC del dominio quinasa de BubR1	BubR1 is shown to be a bona fide kinase whose phosphorylation of CENP-E switches it
31649851	2020	MCC1019, a selective inhibitor of the Polo-box domain of Polo-like kinase 1 as novel, potent an	no se pronuncia			no se pronuncia		
32487663	2021	The Mre11-Rad50-Nbs1 complex mediates the robust recruitment of Polo to DNA lesions during mito	no se pronuncia		Drosophila	no se pronuncia		Polo kinase activity is required for its own recruitment and that of the mitotic proteins BubR1 and Bub3 to DSBs
32579921	2021	The Kinase Activity of Drosophila BubR1 Is Required for Insulin Signaling-Dependent Stem Cell M	pseudoquinasa/inactiva	Generación de mutantes knock-in en Drosophila sin actividad quinasa (kinase-dead mutants) que muestran fenotipo alterado	Drosophila	no se pronuncia	kinase domain (dominio C-terminal), KEN box (N-terminal)	BubR1 kinase-dead mutants modulate insulin signaling in Drosophila
33134313	2020	Characteristic Analysis of Featured Genes Associated With Stemness Indices in Colorectal Cancer	no se pronuncia		humano	no se pronuncia		8 genes (BUB1, BUB1B, CHEK1, DNA2, KIF23, MCM10, PLK4, and TTK)
33207204	2021	BUBR1 Pseudokinase Domain Promotes Kinetochore PP2A-B56 Recruitment, Spindle Checkpoint Silenci	pseudoquinasa/inactiva	El dominio pseudocinasa C-terminal es requerido para promover fosforilación de KARD; mutación o remoción del dominio resulta en reclutamiento disminuido de PP2A-B56 y defectos en la alineación cromosómica	humano	si	Dominio pseudocinasa C-terminal; dominio KARD (kinase attachment regulatory domain)	pseudokinase domain required to promote KARD phosphorylation
33499770	2021	Key Genes and Prognostic Analysis in HER2+ Breast Cancer.	no se pronuncia		humano	no se pronuncia		BUB1B identified as key gene upregulated in HER2+ breast cancer
33860079	2022	Adventures of the undead at kinetochores.	pseudoquinasa/inactiva	El abstract indica que el dominio pseudoquinasa de BUB1B mantiene el balance cinasa-fosfatasa en el cinetocoro exterior durante la salida mitótica		no se pronuncia	pseudokinase domain	pseudokinase domain of BUB1B maintains kinase-phosphatase balance
34907098	2022	Identification of key genes and carcinogenic pathways in hepatitis B virus-associated hepatocel	no se pronuncia			no se pronuncia		
35044816	2022	Biallelic BUB1 mutations cause microcephaly, developmental delay, and variable effects on cohes	pseudoquinasa/inactiva	Impaired kinase activity prohibits centromeric recruitment of Aurora B, SGO1, and TOP2A, correlating with anaphase bridges, aneuploidy, and defective sister chromatid cohesion	humano	no se pronuncia		impaired kinase activity prohibits centromeric recruitment of Aurora B, SGO1, and TOP2A
35525552	2022	Considerations for studying phosphorylation of the mitotic checkpoint pseudokinase BUBR1.	pseudoquinasa/inactiva	Descripción estructural del dominio kinasa C-terminal; no se reportan experimentos funcionales que demuestren actividad catalítica	vertebrados	no se pronuncia	dominio kinasa C-terminal	C-terminal kinase fold that is largely thought to be inactive
36049413	2022	Identification of potential crucial genes and key pathways shared in Inflammatory Bowel Disease	no se pronuncia			no se pronuncia		
36441015	2023	Spatial separation of phosphatase and kinase activity within the Bub complex is required for pr	pseudoquinasa/inactiva	BubR1 localiza la fosfatasa PP2A-B56 a los cinetocoros, no se describe actividad quinasa propia de BubR1	humano	si	Mad1 binding site en Bub1, H2ApT120, dominio quinasa de Bub1	BubR1 localizes the PP2A-B56 protein phosphatase to kinetochores
37151120	2023	Caspase cleaves Drosophila BubR1 to modulate spindle assembly checkpoint function and lifespan 	no se pronuncia		Drosophila (también se menciona humano en contexto general)	no se pronuncia	N-terminal KEN box motif, C-terminal kinase domain	caspases cleave Drosophila BubR1 between the N-terminal KEN box motif and C-terminal kinase domain
38862021	2024	Kinetoplastid kinetochore proteins KKT14-KKT15 are divergent Bub1/BubR1-Bub3 proteins.	no se pronuncia		humano, raton, otro	no se pronuncia	dominio C-terminal, motivo ABBA, dominio quinasa	BubR1 is a direct interactor of Bub1 called Bub3
42483440	2026	Unveiling immune-related gene signatures in triple negative breast cancer through integrated tr	no se pronuncia			no se pronuncia		
