pmid	year	title	modelo	relacion_BubR1_senescencia	intervencion	resultado_de_la_intervencion	es_ensayo_en_humanos	riesgo_tumoral_mencionado	frase_clave
28383136	2017	Age-related decline in BubR1 impairs adult hippocampal neurogenesis.	ratón progeroid con bajo nivel de BubR1	La disminución de BubR1 con el envejecimiento natural causa deficits en la neurogénesis hipocampal adulta	Uso de ratones progeroid que expresan bajos niveles de BubR1	Deficits en proliferación y maduración de progenitores neurales, reducción en la producción de nuevas neuronas	False		BubR1 es un factor crítico controlando pasos secuenciales en neurogénesis
29899396	2019	Lung cellular senescence is independent of aging in a mouse model of COPD/emphysema.	ratón C57BL/6J en modelo de COPD/enfisema inducido por humo de cigarrillo	Bub1b (homólogo de BubR1) fue upregulado significativamente por CS como target pro-senescencia clave	Exposición crónica a humo de cigarrillo durante 6 meses en grupos de ratones jóvenes y viejos	Declive en función pulmonar, cambios estructurales pulmonares, aumento de senescencia celular y upregulación de targets pro-senescencia (Mmp12, Ccl2, Cdkn2a, Tert, Wrn, Bub1b)	False		aging solely does not contribute to the induction of cellular senescence by CS
30221846	2019	An Aurora kinase inhibitor, AMG900, inhibits glioblastoma cell proliferation by disrupting	células de glioblastoma humanas (A172, U-87MG, U-118MG)	BubR1 no fue reclutado al checkpoint del huso mitótico a pesar de cinetocoros desacoplados, contribuyendo a progresión mitótica anormal y senescencia	inhibidor de Aurora quinasa (AMG900)	inhibición de proliferación, upregulación de p53 y p21, arresto del ciclo celular, senescencia, acumulación de multinúcleos y micronúcleos	False	AMG900 como terapia anti-cáncer potencial para glioblastoma	BubR1 no fue reclutado al checkpoint pese a cinetocoros desacoplados
30609266	2020	sFRP3 inhibition improves age-related cellular changes in BubR1 progeroid mice.	ratón hipomórfico BubR1H/H	BubR1H/H presenta envejecimiento acelerado; su función se coopera con sFRP3 en regulación del envejecimiento cerebral	inhibición genética de sFRP3	restauración del tamaño corporal y cerebral reducido; mejora de hipomielinización en corpus callosum; rescate de proliferación de progenitores neurales en giro dentado hipocampal	False		sFRP3 inhibition restores reduced body and brain size in BubR1H/H mice
30693443	2019	ROS-Induced Activation of DNA Damage Responses Drives Senescence-Like State in Postmitotic	células cocleares postmitóticas (in vitro) y ratones SAMP8 (in vivo)	Disminución de expresión de BubR1 asociada a fenotipo de senescencia en células cocleares expuestas a H2O2	Exposición a H2O2 (in vitro) y administración sistémica de EUK-207, mimetizador de superóxido dismutasa/catalasa (in vivo)	EUK-207 atenuó daño al DNA inducido por H2O2 y fenotipos de senescencia in vitro; redujo pérdida auditiva relacionada con la edad y degeneración de células ciliadas en ratones SAMP8	False		ROS-induced DNA damage responses drive cochlear cell senescence and contribute to accelerated ARHL
31209047	2020	Pak2 kinase promotes cellular senescence and organismal aging.	ratones progeroides BubR1, fibroblastos humanos IMR90, fibroblastos embrionarios de ratón (MEFs)	Depleción de Pak2 en ratones progeroides BubR1 atenúa fenotipos asociados al envejecimiento y extiende la vida útil	Depleción de Pak2; sobreexpresión de Pak2	Depleción de Pak2: retraso de senescencia inducida por oncogenes e inducida por estrés oxidativo, atenuación de fenotipos de envejecimiento, extensión de vida útil. Sobreexpresión de Pak2: aceleración de senescencia	False		Pak2 es un regulador importante de senescencia celular y envejecimiento organismal
31738183	2020	BubR1 allelic effects drive phenotypic heterogeneity in mosaic-variegated aneuploidy proge	ratones transgénicos: BubR1L1002P, BubR1X753, BubR1H (mimicando variantes MVA humanas)	Reducción de BubR1 correlaciona con complejidad reducida del fenotipo secretor asociado a senescencia en músculo esquelético; hiperactividad mTORC1 en portadores monoalélicos correlaciona con predisposición a sarcopenia	Generación de ratones con combinaciones de mutaciones BubR1 (BubR1H/L1002P, BubR1X753/L1002P, BubR1H/X753)	BubR1H/L1002P viable con fenotipo MVA incluyendo predisposición a cáncer, envejecimiento prematuro (lifespan corto, enanismo, lipodistrofia, sarcopenia, tolerancia cardiaca reducida); senescencia atenuada en músculo comparado con BubR1H/H	False	Predisposición a cáncer; spectrum de canceres varios como feature de MVA syndrome	BUBR1 allelic effects beyond protein level contribute to disease heterogeneity
31871312	2020	Identification of Differentially Expressed Genes (DEGs) Relevant to Prognosis of Ovarian C	datasets de tejido ovárico normal vs cancer (GSE54388, GSE14407, GSE18520)	BUB1B (ortólogo de BubR1) identificado en vías de senescencia inducida por oncogenes			False	BUB1B y KIF20A correlacionados con peor supervivencia global y progresión en cáncer ovárico	DEGs participan en desarrollo del cáncer ovárico como biomarcadores pronóstico
31942195	2020	Combining Bioinformatics and Experiments to Identify and Verify Key Genes with Prognostic 					False	Carcinoma endometrial; UBE2C como factor de riesgo independiente asociado a estadificación FIGO avanzada y mal pronóstico	KEGG analysis showed DEGs enriched in cellular senescence and p53 signaling pathway
32440821	2021	Identification of Hub Genes in Atypical Teratoid/Rhabdoid Tumor by Bioinformatics Analyses					False	Atypical teratoid/rhabdoid tumor (ATRT), devastating intracranial tumor in children	upregulated genes enriched in cell cycle, p53 signaling pathway, and cellular senescence
32579921	2021	The Kinase Activity of Drosophila BubR1 Is Required for Insulin Signaling-Dependent Stem C	Drosophila melanogaster, mutantes knock-in de BubR1	La actividad quinasa de BubR1 modula la señalización de insulina; su inactivación aumenta la longevidad y produce fenotipos asociados con atenuación de la señalización de insulina	Mutaciones knock-in que disrumpen el dominio quinasa de BubR1 (BubR1 kinase-dead mutants)	Aumento de longevidad, reducción de InR en membrana, actividad debilitada de PI3K y AKT, elevada expresión de dFoxO targets, reducción del número de cap cells en germarios	False		BubR1 kinase modulates insulin signaling at organismal level
33094908	2021	Premature aging syndrome showing random chromosome number instabilities with CDC20 mutatio	células humanas (cultivo in vitro); paciente humano con mutación de novo	Mutante CDC20 muestra menor afinidad de unión a BUBR1 durante formación del complejo de control mitótico, asociado a envejecimiento prematuro	Knock-in de mutante CDC20 (c.856C>A, p.R286S) en células cultivadas	Fallo del punto de control del huso (SAC failure) y aneuploidía aleatoria en células cultivadas; en el paciente: fenotipos de envejecimiento prematuro, pérdida de células madre hematopoyéticas	True		inestabilidad cromosómica acelerada induce envejecimiento prematuro en humanos
33134315	2022	Prognostic Prediction Using a Stemness Index-Related Signature in a Cohort of Gastric Canc	cohort gastric cancer (análisis retrospectivo de expresión génica)				False	Cáncer gástrico: metástasis, recaída y resistencia a fármacos asociados a células madre cancerosas	The 17 mRNAsi-related key genes could be potential treatment targets in GC treatment
33446695	2021	Identifying of biomarkers associated with gastric cancer based on 11 topological analysis 					False	BUB1B identificado como biomarcador pronóstico potencial en cáncer gástrico; senescencia celular mencionada como vía enriquecida asociada.	cellular senescence, cell cycle, viral carcinogenesis and p53 signaling pathway were the most associated with GC
33892776	2021	Physiological relevance of post-translational regulation of the spindle assembly checkpoin		BubR1 está progresivamente regulado a la baja con la edad e está directamente involucrado en el proceso de envejecimiento mediante la supresión de la senescencia celular			False	La pérdida o mutación de BubR1 resulta en aneuploidía que precede a varias patologías potenciales, incluyendo cáncer	BubR1 is progressively downregulated with age and directly involved in aging through suppression of cellular senescence
33902659	2021	Aneuploid abortion correlates positively with MAD1 overexpression and miR-125b down-regula	embriones humanos (vellosidades embrionarias de abortos espontáneos)				True		MAD1 overexpression correlates positively with aneuploid abortion, caused by miR-125b down-regulation
33922244	2021	A Bioinformatics Analysis Identifies the Telomerase Inhibitor MST-312 for Treating High-ST	líneas celulares de HCC		MST-312 (inhibidor de telomerasa)	inhibición de viabilidad celular y expresión de proteínas (STMN1, BUB1B, MCM5)	False	dirigido a carcinoma hepatocelular; STMN1 como oncopróteis asociada a migración e invasión	MST-312 inhibited HCC cell viability and related protein expression
34545188	2021	Increased BUB1B/BUBR1 expression contributes to aberrant DNA repair activity leading to re	células de cáncer de vejiga CRT-resistentes (T24R), análisis in vivo en tumores		inhibición de ATM con AZD0156; CRISPR/cas9 para análisis de reparación de ADN	abrogación del crecimiento tumoral en células CRT-resistentes T24R mediante inhibición de ATM	False	aumento de BUB1B/BUBR1 favorece reparación mutagénica del ADN (NHEJ) que contribuye a resistencia a quimio-radioterapia en cáncer de vejiga	BUB1B/BUBR1 upregulation drives mutagenic NHEJ-dependent CRT resistance via ATM
34987580	2022	Weighted Gene Correlation Network Analysis Identifies Specific Functional Modules and Gene	análisis bioinformático de datos TCGA y GSE38129 (muestras de cáncer de esófago humano)				False	Genes asociados a progresión del cáncer de esófago; senescencia celular como vía carcinogénica; BUB1B (ortólogo de BubR1) entre los 10 genes hub con asociación a estadificación patológica y pronóstico	linked to cell cycle progression and carcinogenic pathways like p53 signaling pathway, cellular senescence, and apoptosis
35068350	2022	BUB1B (BUB1 Mitotic Checkpoint Serine/Threonine Kinase B) promotes lung adenocarcinoma by 	células humanas (LUAD), xenotrasplante en ratón		knockout de BUB1B, silenciamiento de ZNF143, sobreexpresión de BUB1B	supresión de proliferación, migración e invasión celular in vitro; inhibición del crecimiento tumoral in vivo	False	BUB1B contribuye a iniciación y desarrollo de cánceres; alta expresión de BUB1B asociada a menor supervivencia en pacientes con LUAD	BUB1B regulates glycolysis in LUAD and interacting with ZNF143
35095717	2022	Overexpression of SKA Complex Is Associated With Poor Prognosis in Gliomas.	bases de datos (Oncomine, UALCAN, cBioPortal) - pacientes con gliomas				False	Sobreexpresión de SKA complex asociada con pobre pronóstico en gliomas; expresión elevada de SKA1 y SKA3 correlacionada con menor supervivencia	SKA complex involved in nuclear division, chromosome segregation, and DNA replication
35460921	2022	Spindle and Kinetochore-Associated Complex Is Associated With Poor Prognosis in Adrenocort					False	High expression of SKA complex associated with poor prognosis in adrenocortical carcinoma (ACC); overexpression linked to chromosome segregation pathways	High expression is correlated with poor patient prognosis
35619603	2022	Identification of Key Genes Associated With Early Calf-Hood Nutrition in Subcutaneous and 	null	null	null	null	False	null	
35639235	2022	SIRT1 regulates mitotic catastrophe via autophagy and BubR1 signaling.	células en cultivo con bloqueo G2/M inducido por BMH-21	SIRT1 se une al promotor de BubR1 para upregular su expresión; la sobreexpresión de BubR1 disminuye la catástrofe mitótica mientras que su knockdown la aumenta	sobreexpresión de SIRT1, knockdown de SIRT1, inducción de autophagia por inanición sérica, knockdown de ATG5/7, sobreexpresión de BubR1, knockdown de BubR1	sobreexpresión de SIRT1 alivia catástrofe mitótica y dispara autophagia; knockdown de SIRT1 agrava catástrofe mitótica y reprime autophagia; knockdown de ATG5/7 suprime autophagia llevando a mayor catástrofe mitótica	False	SIRT1, autophagia y BubR1 como potenciales dianas terapéuticas contra cáncer	SIRT1 regulates mitotic catastrophe through autophagy and BubR1 signaling
35706790	2022	Identification of hub genes associated with bladder cancer using bioinformatic analyses.					False	Sobreexpresión de BUB1B, CCNB1, CDC20, y DLGAP5 reduce significativamente la supervivencia general en pacientes con cáncer de vejiga	cell senescence fue significativamente enriquecida en los DEGs
35912011	2022	PLK4 is a key molecule in the formation of PGCCs and promotes invasion and migration of pr	líneas celulares de cáncer colorrectal (LoVo y Hct116)		tratamiento con bufalina; knockdown de PLK4	bufalina induce formación de PGCCs; PLK4 knockdown reduce expresión de CDC25C y sus formas fosforiladas	False	PLK4 asociado con metástasis de ganglios linfáticos en tejidos CRC humanos; PGCCs y células derivadas con alta capacidad de migración, invasión y proliferación	PLK4 contributes to PGCC formation by regulating CDC25C expression
35913887	2022	Germline Missense Variants in CDC20 Result in Aberrant Mitotic Progression and Familial Ca	células HeLa, fibroblastos dérmicos primarios de portadores, ratones heterocigotos N331K		variantes missense CDC20 (L151R y N331K); generación de ratones CRISPR-Cas9 con variante N331K	promoción de mitotic slippage en células; aceleración de oncogenicidad en ratones heterocigotos portadores de Myc-driven cancers; homocigotos no viables	False	variantes CDC20 como genes promotores de tumores; segregación con tumores germinales ováricos; predisposición celular a transformación	mutantes comprometen el spindle assembly checkpoint y llevan a mitotic progression aberrante
36302822	2022	Tracking footprints of artificial and natural selection signatures in breeding and non-bre					False		
36431124	2023	Retrospective Analysis of Prognostic Factors in Pediatric Patients with Adrenocortical Tum	pacientes pediátricos con tumores adrenocorticales (95 casos)				True	Asociación de baja expresión BUB1B-PINK1 (<6.95) e hiperexpresión IGF-IR con comportamiento maligno en tumores adrenocorticales pediátricos	baja expresión BUB1B-PINK1 e IGF-IR asociadas con malignidad
36539842	2022	Insufficient HtrA2 causes meiotic defects in aging germinal vesicle oocytes.	ratón - ovocitos en vesícula germinal (GV), jóvenes y envejecidos	En ovocitos jóvenes con HtrA2 reducido, se observó significativamente más BubR1 en cinetocoros, indicando activación del checkpoint de ensamblaje del huso. La deficiencia de HtrA2 con la edad contribuye al fallo reproductivo.	knockdown de HtrA2 mediante siRNA en ovocitos jóvenes; sobreexpresión de HtrA2 en ovocitos envejecidos	Knockdown: bloqueo en metafase I, más BubR1 en cinetocoros, exrusión deficiente del primer cuerpo polar, desorganización del huso/cromosomas, aneuploidía. Sobreexpresión: rescate parcial de desorganización del huso/cromosomas y reducción de aneuploidía en ovocitos envejecidos.	False		HtrA2 is a key regulator of oocyte maturation, and its deficiency with age contributes to reproduction failure
37094517	2023	The establishment of mitotic errors-driven senescence depends on autophagy.	células jóvenes tratadas con H₂O₂, células envejecidas	Bub1b/BubR1 aumenta inicialmente como respuesta al estrés oxidativo, seguido de degradación dependiente de autofagia; disminuye naturalmente con la edad	tratamiento con H₂O₂ (estrés oxidativo exógeno); inhibición de autofagia (implícita en el análisis de degradación)	aumento de errores mitóticos, aneuploidía, centrosomas supernumerarios; fallo del checkpoint del huso mitótico ante venenos del huso	False	senescencia como barrera contra transformación celular	autofagia-dependiente degradación de Bub1b/BubR1 durante envejecimiento
37118121	2023	Unique progerin C-terminal peptide ameliorates Hutchinson-Gilford progeria syndrome phenot	células HGPS, ratones LmnaG609G/G609G	BUBR1 se reduce durante la senescencia celular en HGPS; el BUBR1 restante queda anclado a la membrana nuclear por progerin, limitando su función	péptido C-terminal único de progerin (UPCP) que bloquea la interacción progerin-BUBR1	inhibición de senescencia celular, amelioración de fenotipos progeroides, extensión de la lifespan en ratones	False		UPCP inhibited HGPS cellular senescence and ameliorated progeroid phenotypes
37151120	2023	Caspase cleaves Drosophila BubR1 to modulate spindle assembly checkpoint function and life	Drosophila (mosca de la fruta)	La escisión de BubR1 mediada por caspasas limita la vida útil del organismo; moscas con BubR1 resistente a escisión muestran lifespan extendido	Generación de moscas con BubR1 resistente a escisión por caspasas	Lifespan extendido en las moscas	False		caspase-mediated cleavage of BubR1 limits spindle assembly checkpoint and organismal lifespan
37228122	2023	Inferring evolutionary trajectories from cross-sectional transcriptomic data to mirror lun	datos transcriptomicos transversales de adenocarcinoma pulmonar humano (LUAD), tres cohortes independientes		sobreexpresion de BUB1B, BUB1 y BUB3	promocion de proliferacion de celulas tumorales y metastasis mediante alteracion del checkpoint del ensamblaje del huso mitótico	False	sobreexpresion de genes del checkpoint mitótico (BUB1B, BUB1, BUB3) promueve progresion del adenocarcinoma pulmonar, tumores evolucionan mediante expansion clonal y acumulacion de mutaciones	overexpression of BUB1B, BUB1 and BUB3 promoted tumor cell proliferation and metastases
37304238	2023	Comprehensively analyzing the genetic alterations, and identifying key genes in ovarian ca					False	BUB1B sobreexpresado identificado como factor tumor-promotor en cáncer ovárico	4 hub genes como potenciales biomarcadores y targets terapéuticos en cáncer ovárico
37525917	2026	In Silico Insight to Identify Potential Inhibitors of BUB1B from Mushroom Bioactive Compou					False	Overexpression of BUB1B observed in various cancer types; inhibition induces cancer cell death; potential strategy for overcoming chemotherapy and radiation resistance	lepitaprocerin D identified as potential novel inhibitor for BUB1B
37853361	2023	BUB1, BUB1B, CCNA2, and CDCA8, along with miR-524-5p, as clinically relevant biomarkers fo	células humanas (Ishikawa de carcinoma endometrial)		sobreexpresión e inhibición de miR-524-5p	sobreexpresión de miR-524-5p inhibió viabilidad, migración e invasión celular; inhibición mostró resultados opuestos	False	BUB1, BUB1B, CCNA2, CDCA8 correlacionados con pronóstico en carcinoma endometrial; sobreexpresión de miR-524-5p reduce migración e invasión	miR-524-5p can target and regulate these four genes
38009412	2023	SIRT2 transgenic over-expression does not impact lifespan in mice.	ratón transgénico SIRT2 sobre-expresado en fondo silvestre (wild-type) y en hipomorfo BubR1	La sobre-expresión de SIRT2 en el modelo hipomorfo BubR1 rescata aspectos de salud e incrementa la longevidad mediante una interacción específica que mejora la estabilidad de la proteína BubR1	Sobre-expresión transgénica de SIRT2	En fondo silvestre: sin impacto en salud o longevidad en machos y hembras. Cambios bioquímicos en metabolitos cerebrales sin traducirse en diferencias funcionales	False		estrategias para aumentar niveles de SIRT2 pueden no llevar a mayor longevidad
38334966	2024	BubR1 controls starvation-induced lipolysis via IMD signaling pathway in Drosophila.	Drosophila, cuerpo graso adulto		Depleción de BubR1 (cuerpo completo y específica en cuerpo graso)	Aumento de degradación lipídica y acortamiento de la lifespan bajo ayuno	False		BubR1 regula la lipolisis inducida por inanición vía vía de señalización IMD
38711083	2024	Positive feedback regulation between glycolysis and histone lactylation drives oncogenesis	células de PDAC in vitro e in vivo (xenoinjertos en ratón)		inhibición de glucólisis, knockdown de LDHA, knockdown o sobreexpresión de TTK y BUB1B	supresión de actividad glucolítica, efectos anti-tumor in vitro e in vivo, reducción de H3K18la	False	lalactilación H3K18la elevada se asocia con mal pronóstico; el bucle de retroalimentación positiva exacerba la disfunción en PDAC	glycolysis-H3K18la-TTK/BUB1B positive feedback loop exacerbates dysfunction in PDAC
39043653	2024	BUB1b impairs chemotherapy sensitivity via resistance to ferroptosis in lung adenocarcinom	células de adenocarcinoma de pulmón (in vitro) y ratones BALB/c nude con tumores subcutáneos (in vivo)		sobreexpresión de BUB1b; inhibición de NRF2 con ML385 combinado con quimioterapia	aumento de viabilidad celular con sobreexpresión; inhibición del crecimiento tumoral y mejora de supervivencia con ML385 + quimioterapia	False	BUB1b identificado como oncogén; promueve progresión de adenocarcinoma de pulmón; confiere resistencia a ferroptosis y quimioterapia	BUB1b estabiliza la vía de señalización NRF2 para facilitar insensibilidad a ferroptosis y quimioterapia
39437971	2024	Senolytic therapy preserves blood-brain barrier integrity and promotes microglia homeostas	ratón PS19 (modelo de tauopatía)		dasatinib + quercetin (D + Q), terapia senolítica	preservación de BBB, rescate del hipometabolismo cerebral de oxígeno, atenuación de atrofia cerebral, reducción de tau hiperfosforilada, cambio de microglía hacia estado homeostático, mejora de función cognitiva	False		senolytic treatment preserves BBB integrity and promotes microglia homeostasis
39489121	2024	The cell cycle inhibitor p21CIP1 is essential for irinotecan-induced senescence and plays 	líneas de glioblastoma múltiples, clones de LN229, muestras de pacientes (pareadas: tumores de novo y recurrentes)		irinotecan (inhibidor de topoisomerasa I); combinación irinotecan + BV6 (fármaco senolítico); análisis de escape de senescencia inducida por temozolomida	irinotecan induce p21CIP1 y senescencia en células resistentes a temozolomida; BV6 reduce significativamente la senescencia inducida por irinotecan; tiempo de progresión libre prolongado en pacientes tratados con irinotecan tras temozolomida	True		p21CIP1 es esencialmente necesario para inducción y mantenimiento de senescencia inducida por irinotecan
39490401	2024	BubR1 and SIRT2: Insights into aneuploidy, aging, and cancer.		BubR1 levels decline naturally with age; its loss is associated with age-related pathologies and influences genomic stability and cellular senescence			False	Aging is a significant risk factor for cancer due to heightened genomic instability; BubR1 and SIRT2 interaction represents a promising avenue for developing targeted therapies against age-related diseases, particularly cancer	BubR1 levels naturally decline with age and its loss is associated with age-related pathologies
39510246	2024	Early vascular aging in chronic kidney disease: focus on microvascular maintenance, senesc	ESKD patients (n=82) y controles no-CKD (n=70)		Tratamiento ex vivo con agentes senolíticos (Dasatinib + Quercetin)	Reducción del fenotipo secretor asociado a senescencia y cambio en el origen de vesículas extracelulares	True		Uremic microvasculature characterized by senescence signature
39546497	2024	Adolescents and young adults with sickle cell disease exhibit accelerated aging with eleva	adolescentes y adultos jóvenes con enfermedad de células falciformes (SCD), comparados con controles sin SCD				True		p16 dramatically higher in SCD vs. without SCD - gap of 43 years in biological age
39622416	2025	Senolytics rejuvenate aging cardiomyopathy in human cardiac organoids.	organoides cardíacos humanos derivados de iPSC (hCardioids) tratados con doxorubicina		tratamiento con senolytics: dasatinib y quercetin (D+Q)	reversión de estrés oxidativo, marcadores de senescencia, SASP; restauración de viabilidad, función contráctil, progenitores cardíacos y proliferación de cardiomiocitos	False		senolytics rejuvenated aged-hCardioids restoring structure and function
39753942	2025	Aneuploidy-driven gene expression profiling in human blastocysts: insights from RNA-Seq an	embriones humanos (blastocistos de parejas candidatas a PGT-A)				True		Transcripción, ubicuitinación, autofagia y reparación de ADN se regulan al alza en embriones aneuploides
39823170	2025	Characterization of Human Senescent Cell Biomarkers for Clinical Trials.	ensayo clínico en mujeres postmenopáusicas		dasatinib + quercetin (senolytics)	respuestas esqueléticas robustas en mujeres con mayor expresión de p16_variant 5 en células T	True		p16_variant 5 más predictivo de respuestas al tratamiento que p16_variant 1+5
39827329	2025	Cellular Senescence Contributes to Colonic Barrier Integrity Impairment Induced by Toxopla	ratón C57BL/6J infectado con Toxoplasma gondii		terapia senolytica con dasatinib y quercetin (DQ) para reducir celulas senescentes	mejora significativa de las alteraciones patologicas colónicas inducidas por T. gondii	False		senolytic therapy exerts a therapeutic effect on intestinal pathological lesions
39846383	2025	Senolytic Targeting of Anti-Apoptotic Bcl Family Increases Cell Death in UV-Irradiated Sen	melanocitos UV-irradiados in vitro		ABT-737 y ABT-263 (inhibidores Bcl anti-apoptóticos)	reducción de melanocitos senescentes SA-β-Gal positivos, disminución de p16INK4A y p21Waf1, aumento de caspasa-3 escindida	False		ABT-737 and ABT-263 eliminate senescent melanocytes through caspase-mediated apoptosis
39903759	2025	Chromosome Missegregation Triggers Tumor Cell Pyroptosis and Enhances Anti-Tumor Immunothe	celulas de cancer colorrectal (in vitro e in vivo)	BUB1B (ortólogo de BubR1) promovido por YY2 aumenta la misegregación cromosómica	sobreexpresion de YY2 para inducir misegregación cromosómica; combinado con inhibidor de PD-1	piroptosis de células tumorales, refuerzo del microambiente inmunológico tumoral, mayor infiltración y citotoxicidad de células CD8+ T, eficacia mejorada de inmunoterapia con inhibidor de puntos de control	False	La misegregación cromosómica es común en tumores sólidos; el estudio demuestra que promoverla mediante YY2 mejora respuesta a inmunoterapia en cáncer colorrectal	YY2-induced chromosome missegregation triggers pyroptosis, enhancing anti-tumor immunotherapy
